Symbol	201414878-01	201414879-01	201414880-01	201414881-01	201414882-01	201414883-01
ENSG00000007933.8	1	0	1	0	0	0
ENSG00000007944.10	54	42	15	101	87	120
ENSG00000007952.13	0	0	0	0	0	0
ENSG00000007968.6	8	9	0	6	23	11
ENSG00000008018.8	2178	1935	717	2424	3017	2154
ENSG00000008056.8	1	0	0	4	0	0
ENSG00000008083.9	936	756	278	861	694	974
ENSG00000008086.6	119	61	40	126	141	140
ENSG00000008118.5	2	2	0	0	0	0
ENSG00000008128.18	11	14	9	25	11	20
ENSG00000008130.11	512	291	121	804	908	1011
ENSG00000008196.8	0	0	0	0	0	0
ENSG00000008197.4	0	0	0	3	0	0
ENSG00000008226.15	15	9	1	9	4	6
ENSG00000008256.11	3394	1932	1146	2788	2320	3000
ENSG00000008277.10	201	205	90	435	539	490
ENSG00000008282.3	1415	1175	646	1737	2284	2024
ENSG00000008283.11	140	85	40	425	454	445
ENSG00000008294.16	9560	7945	3876	11299	11958	12105
ENSG00000008300.10	104	69	7	132	96	148
ENSG00000008311.10	469	402	146	1239	1320	1221
ENSG00000008323.11	1	1	0	4	0	5
ENSG00000008324.6	103	87	35	136	189	102
ENSG00000008382.11	41	15	8	114	82	116
ENSG00000008394.8	400	412	148	1491	999	1653
ENSG00000008405.7	3083	2203	1429	3829	3879	4443
ENSG00000008438.4	1	0	0	0	0	0
ENSG00000008441.12	823	400	192	1892	1321	2486
ENSG00000008513.10	102	117	33	419	461	417
ENSG00000008516.12	1	1	0	2	0	1
ENSG00000008517.12	57	26	8	168	134	241
ENSG00000008710.13	197	95	21	940	670	935
ENSG00000008735.10	12	4	1	5	8	8
ENSG00000008838.13	537	292	86	974	954	1229
ENSG00000008853.12	295	170	45	531	295	761
ENSG00000008869.7	1560	1219	536	2256	2499	2354
ENSG00000008952.12	6570	6027	2920	7267	6750	8287
ENSG00000008988.5	14070	14405	6714	10924	16946	12094
ENSG00000009307.11	35972	31784	12235	34453	39668	36062
ENSG00000009335.13	4283	3372	1466	5747	6678	6208
ENSG00000009413.11	6728	5310	2819	9762	10141	10358
ENSG00000009694.9	1	2	0	5	3	0
ENSG00000009709.7	0	0	0	2	1	0
ENSG00000009724.12	0	4	1	7	0	1
ENSG00000009765.10	0	0	1	0	0	2
ENSG00000009780.11	288	266	160	590	646	552
ENSG00000009790.10	0	0	0	3	0	0
ENSG00000009830.7	542	359	157	964	946	1007
ENSG00000009844.11	2576	2338	964	2913	3239	2879
ENSG00000009950.11	1	1	0	2	0	0
ENSG00000009954.6	7917	5922	2903	10016	9186	11375
ENSG00000010017.9	2663	2272	1192	2966	2843	2812
ENSG00000010030.9	4	0	0	8	11	7
ENSG00000010072.11	471	426	165	883	839	809
ENSG00000010165.15	450	285	91	735	628	782
ENSG00000010219.9	281	209	64	308	393	362
ENSG00000010244.12	3741	3038	1356	5395	5993	4845
ENSG00000010256.6	1834	1163	425	2382	2558	2341
ENSG00000010270.9	1184	985	551	1431	1837	1533
ENSG00000010278.7	1244	1232	465	1543	2098	1561
ENSG00000010282.10	1	0	0	1	0	0
ENSG00000010292.8	1662	1146	434	2366	1990	2567
ENSG00000010295.15	265	187	60	710	618	833
ENSG00000010310.4	12	6	1	9	3	16
ENSG00000010318.15	128	90	31	152	165	148
ENSG00000010319.2	0	0	0	5	0	1
ENSG00000010322.11	1836	1011	361	3146	2800	3439
ENSG00000010327.6	2	0	0	6	1	1
ENSG00000010361.9	89	73	24	122	124	138
ENSG00000010379.11	2	5	1	1	7	6
ENSG00000010404.13	2120	1797	1020	3196	3127	3261
ENSG00000010438.12	0	0	0	1	0	0
ENSG00000010539.7	319	296	130	343	441	376
ENSG00000010610.5	0	1	0	3	0	1
ENSG00000010626.10	175	141	56	211	221	269
ENSG00000010671.11	1	1	0	2	0	3
ENSG00000010704.14	547	398	139	834	635	971
ENSG00000010803.12	619	369	116	781	797	840
ENSG00000010810.13	1070	842	424	1422	1309	1467
ENSG00000010818.4	3721	3032	1728	4208	4255	4766
ENSG00000010932.11	0	0	0	0	0	0
ENSG00000011007.8	1898	1589	606	2525	2329	2757
ENSG00000011009.6	71	34	12	191	182	215
ENSG00000011021.17	310	162	74	431	429	521
ENSG00000011028.9	2707	1326	553	5568	5296	4997
ENSG00000011052.17	0	0	0	0	0	0
ENSG00000011083.4	1	0	1	2	1	0
ENSG00000011105.7	622	366	123	754	611	962
